序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,資工系,112598134,劵奥蟦,2edk5wso8vh,3,4,4,8,8,3,3,2,2,6
2,資工所,112590281,鏁闤鮾,woy6ryht1w,9,9,5,9,6,2,6,1,1,4
3,電資資安,111598518,捛讎聂,qi3z0xd3gq,2,0,8,3,7,7,5,1,7,7
4,資工系,112C71519,稹啬濎,34eb6cisfw,3,2,4,3,9,1,3,0,6,0
5,電資資安,111C52353,鱯硍鍂,dq0qrsu47y,7,7,7,1,0,3,2,5,8,4
6,資工所,111598799,瀇冕爹,r1qnotz8wr,2,2,8,0,3,5,0,5,5,3
7,電資資安,111590530,脎睼貇,t37hude4oz,2,7,0,9,3,6,4,8,2,8
8,創新AI,112590681,飪掘囓,ec17qyjzs3,4,0,2,3,8,9,3,0,5,0
9,創新AI,111C53690,婫婥颕,oh2e5l4crz,1,6,5,8,3,3,3,1,4,6
10,電資AI,112590431,讏蚊棐,72jon3x54o,0,9,3,4,0,4,2,8,2,7
11,資工系,111C53216,橃鵽舯,92vy1hav8n,9,0,6,0,4,5,3,1,4,1
12,電資資安,112590979,珨皮稣,37b2iu71zy,1,6,6,2,1,9,8,1,5,5
13,電資資安,112C53731,螶槻醐,hwddhptzt,0,7,8,3,4,0,8,2,4,9
14,創新AI,112598373,宫维哤,11bb1txuobk,1,3,6,9,2,1,2,3,9,7
15,電資資安,111C71276,絿卭鰈,qfxdqer9fxk,4,1,7,4,6,2,1,4,2,6
16,資工系,112C71666,婴酎灟,bjw1i2qk0d,1,2,3,5,4,2,9,7,0,2
17,電資資安,111C71949,璀媹裝,5a1ty0n264,5,5,2,6,6,3,8,2,4,8
18,電資AI,112590177,狦稻虚,ewkv6ya9by,1,7,5,5,3,3,8,9,2,9
19,電資AI,112C52057,攮颰樥,dy9yyruzxn,0,4,3,4,6,2,8,4,8,2
20,電資AI,111C53615,鄺版斲,q6puas0t0b,6,9,3,1,1,6,2,1,0,0
21,創新AI,112C71696,欵泭麷,sov6fkmon3,0,0,2,9,6,1,6,7,6,1
22,資工所,111598481,磏脰漒,qei6tzr6tk,6,0,4,1,7,5,7,1,8,2
23,電資AI,112C52741,斀幈磒,wxu11gb8wih,8,2,2,9,9,6,1,1,3,7
24,資工系,111C52089,騬靚憲,h90xp5b49k,8,7,3,8,6,7,6,4,0,7
25,資工系,112C71006,檕亁蠻,pg8np12qkbl,0,7,1,3,4,5,8,8,4,5
26,資工系,112C52261,鄮燥徫,3obdvsliia,4,8,0,1,0,1,1,9,0,9
27,資工所,111590038,裫咞窧,tngee1v2yp,6,4,5,8,7,8,9,5,2,1
28,創新AI,111C52273,騗龜覯,v2mwgluafz,3,3,2,0,3,0,2,2,3,9
29,創新AI,111C71015,疫躱羻,ltxu5xyu5,8,1,4,5,8,5,4,2,1,6
30,資工系,111598838,琟故冴,rckj9x36fxg,0,6,9,6,8,4,5,8,6,0
31,資工系,112C71294,嚷丏廜,s7advfciyy,5,3,6,6,1,3,8,9,4,6
32,創新AI,111C71886,齡掣太,7vi4h3cy1q,6,4,0,2,4,7,4,9,3,9
33,資工系,111598400,羰橫睜,5j2olb64b0j,0,5,6,2,4,8,2,2,1,1
34,資工所,112590991,势旗懎,exwehjg20y,3,5,0,8,4,4,1,5,6,3
35,創新AI,112C52939,矋庍琄,unrc4ceh7nh,6,6,6,7,8,6,9,4,1,5
36,創新AI,112590624,螋舩髪,mzmejpw3q6,5,8,0,2,4,4,9,3,3,8
37,電資AI,111C53465,邥噤鴖,pd548gibw0k,3,4,4,2,8,0,6,0,3,1
38,電資AI,111590034,阅傳屾,mc14f71aer,8,5,0,6,8,2,7,1,8,5
39,資工系,112C52679,留妶葢,6ig5tt7fo4f,5,9,0,4,9,1,7,0,3,9
40,電資AI,111C71165,滃馐孕,5jhxshkm63,8,2,8,0,0,0,1,1,7,9
41,資工系,112598973,疎梗鑖,3llyrniua2h,5,6,5,6,1,2,5,8,5,0
42,電資AI,112C71762,盼攕洍,2gn27ofzh5,0,5,7,3,2,7,2,8,2,1
43,創新AI,111C53324,媪刨镽,3mirqt3cgw,6,9,2,3,6,2,1,5,1,1
44,電資AI,112C53980,台趰騿,qx3h2ofg5b,2,2,6,6,0,2,1,2,1,6
45,電資資安,111598471,閪秈阦,3sc2rwvgpw,5,0,1,8,1,1,5,9,4,7
46,資工系,112598654,縲砖胍,huy3ahdw4y,7,1,5,7,8,5,5,0,5,7
47,資工系,111598938,裴吧驜,ziwx0yyf2f,6,9,5,9,9,5,2,8,8,9
48,電資資安,112C71960,廡砠捾,ioubrl618i,8,6,7,8,9,0,9,6,0,8
49,資工所,112C52105,礍儐汜,ey1y4x5ieb,9,5,1,8,4,9,0,5,1,9
50,電資資安,111C52211,鲘壖瞭,we7pjjcdbji,5,3,9,8,9,2,7,7,7,8
51,電資資安,112C53564,鰤詍濜,fdd00aazp9,1,4,7,5,7,2,8,1,1,6
52,電資AI,112C53774,店陻峉,rtj6z68er4,2,5,7,2,4,4,8,1,9,5
53,創新AI,111C53201,唔瀋髑,1osgytjqul,7,3,1,2,3,6,3,4,3,6
54,資工系,111C52306,烥戂躼,h1mt2qhd8s,4,9,4,1,0,6,2,8,4,6
55,資工所,112C52515,宱夁儽,5qu5520eil,6,3,8,1,2,4,1,5,6,7
56,創新AI,111590238,挼慱催,gp4hxli81zj,3,3,9,4,8,9,9,8,5,9
57,創新AI,112C71137,糐东頏,0qk803qhvi,0,0,3,4,6,8,8,7,6,9
58,電資AI,112598680,彄鏿榲,94kf8hcvq5,8,7,3,5,8,3,0,8,8,7
59,資工所,111590250,晷應鱽,vx6xn3ngrw,2,1,0,2,7,1,6,3,3,1
60,創新AI,112C52305,濵踥擛,eh06y8mogf,5,5,5,1,3,3,3,9,6,5
61,資工所,111C71590,范瀔俔,4bnc786bpj,5,3,2,8,7,7,1,6,1,9
62,電資資安,112590620,辈凡儠,y59nndilsu,9,7,9,2,7,3,3,2,6,4
63,創新AI,111598379,潡虗蟣,qhpke9325i,8,7,8,2,5,3,5,0,8,5
64,電資資安,112C52854,牄蛍碮,n5xm3igvpe,5,7,2,1,9,4,3,0,2,4
65,電資資安,112C52642,早馫紞,ehu175u0we,4,2,3,7,9,3,3,0,6,2
66,電資AI,112C71813,螩肴蟫,poosd5sbr1,4,2,5,9,2,7,1,1,5,5
67,創新AI,112598926,譃鵈鉵,bzc8ztwlda,6,0,6,0,4,4,1,9,1,7
68,資工系,112C52766,坢諜濯,s0ohmo3hfz,7,1,9,7,2,5,1,2,3,5
69,資工系,111598603,蘵墯辢,udj83ata6i,8,8,3,9,8,0,8,8,0,0
70,創新AI,112598578,鲸釾淩,uso1nn04x3,8,8,2,7,7,4,2,0,1,4
71,電資AI,111598803,肱瑊揩,uikxm07ckkk,1,8,1,3,4,1,7,8,2,5
72,電資資安,112C71028,夎赙湬,euxu3dzr1,7,8,3,6,1,1,9,1,1,7
73,電資資安,111598559,埉缔蠉,x6w7rfahlk,7,6,6,8,1,4,3,9,7,5
74,電資AI,111590099,儚輺沃,v19lsp2x8o,9,3,4,0,4,4,3,3,9,8
75,資工所,111598327,皻齶撃,e2sqkn1m04,2,3,4,3,5,8,7,4,8,7
76,電資AI,111C52945,婴疮邴,tfpspp7msph,8,6,3,2,8,3,3,0,2,2
77,電資資安,111C52901,郮箮咩,4683al35e6,8,5,2,1,2,7,1,3,9,0
78,電資AI,112C52359,洙煹抳,lhrkkthb8y,1,7,5,0,0,6,6,1,3,3
79,創新AI,111598186,栾蜛硬,g9ct32vknk,7,9,1,7,9,7,3,6,6,7
80,電資AI,111C71754,鰴簌贱,higo7hmfo1,1,0,4,0,2,9,0,8,0,4
81,資工系,112590463,铱簬鷊,vq0ltpfxnw,7,5,9,6,5,6,0,6,6,6
82,電資資安,111C53916,泇比鮞,ls33d1txdpk,2,7,7,3,8,2,9,7,5,3
83,電資資安,111598530,阆儙鶔,gc5hmghxpr,6,3,7,7,5,4,2,8,3,9
84,資工所,111C71163,觌籥楇,liiczutkal,8,4,4,0,5,8,6,5,0,8
85,資工所,111C71633,戃毚粎,s3u2u5upak,7,7,3,2,3,7,2,3,5,6
86,電資資安,112C71743,頖嘽巺,k2o3oda9hf,6,9,3,0,4,8,1,1,2,8
87,資工系,111C52259,畄避煀,26g8es5urj,9,7,9,0,4,2,9,4,0,7
88,資工所,111C71787,肀狽遆,z4pr4gbqrg,7,3,9,5,2,9,7,0,7,4
89,電資AI,112590466,翙齗暭,j01a48sbpw,6,6,5,1,4,9,9,9,2,9
90,資工所,111C52088,譛蚭莤,nhx9ndf9mm,9,0,7,2,6,4,0,1,6,6
91,資工所,111C71428,糅最文,lky0elu6gg,0,8,8,5,3,5,1,4,5,9
92,資工系,111C53402,糘妢浜,q6oryc5cbq,4,3,7,1,9,1,1,5,6,9
93,資工所,112C52760,擯錣瀄,9lernr9wb5,9,0,7,3,2,9,5,4,9,6
94,電資資安,112C71002,赃嘅鵰,4rzrk3t9sa,7,9,9,2,0,5,2,4,3,9
95,資工所,112C52294,蔦樈柣,sdpw8jscej,1,6,8,0,7,9,9,8,9,9
96,創新AI,111C71027,础芵怤,zcn7jhys5ph,5,9,9,4,5,7,9,1,0,4
97,資工所,112590779,詺暆糣,9ed4x3rx78,9,3,3,7,8,5,2,1,9,1
98,資工系,112C71559,豞焅殑,hah75hwmyt,2,7,2,4,7,9,3,8,1,7
99,電資資安,112598523,膼籿葖,nh8wg1onks,8,4,0,0,3,2,1,9,9,4
100,創新AI,111C53959,谰鿍甴,fs9e8gbm1y,8,5,6,9,1,0,5,6,4,0
101,創新AI,112590662,戃嗧当,gkjz2m2b9ug,0,5,5,3,7,8,2,8,9,4
102,資工所,112C52717,拕疦葬,drarj72vq1,6,0,7,7,2,1,0,9,1,9
103,電資資安,112C52820,諫獰黱,2xoe6zs17y,7,2,1,4,4,3,8,3,7,7
